userId,movieId,rating
C5001,I-1038,
C5001,I-1003,
C5001,I-1017,
C5001,I-1028,
C5001,I-1036,
C5001,I-1010,
C5001,I-1035,
C5001,I-1014,
C5001,I-1031,
C5001,I-1006,
C5001,I-1041,
C5001,I-1015,
C5001,I-1042,
C5001,I-1039,
C5001,I-1037,
C5001,I-1037,
C5002,I-1005,
C5002,I-1043,
C5002,I-1044,
C5002,I-1003,
C5002,I-1041,
C5002,I-1045,
C5003,I-1036,
C5003,I-1034,
C5003,I-1005,
C5003,I-1039,
C5003,I-1039,
C5003,I-1007,
C5003,I-1015,
C5003,I-1045,
C5003,I-1005,
C5003,I-1042,
C5003,I-1021,
C5003,I-1011,
C5003,I-1042,
C5003,I-1015,
C5003,I-1039,
C5003,I-1018,
C5004,I-1021,
C5004,I-1034,
C5004,I-1011,
C5004,I-1028,
C5004,I-1003,
C5004,I-1036,
C5004,I-1036,
C5004,I-1004,
C5004,I-1006,
C5004,I-1013,
C5004,I-1006,
C5004,I-1031,
C5005,I-1037,
C5005,I-1006,
C5006,I-1040,
C5006,I-1027,
C5006,I-1036,
C5006,I-1002,
C5006,I-1031,
C5006,I-1037,
C5006,I-1033,
C5006,I-1010,
C5006,I-1018,
C5006,I-1007,
C5006,I-1035,
C5006,I-1011,
C5006,I-1042,
C5006,I-1043,
C5007,I-1015,
C5007,I-1015,
C5007,I-1017,
C5007,I-1013,
C5007,I-1037,
C5007,I-1020,
C5007,I-1011,
C5007,I-1006,
C5007,I-1010,
C5007,I-1002,
C5007,I-1020,
C5007,I-1014,
C5007,I-1024,
C5007,I-1022,
C5007,I-1005,
C5007,I-1012,
C5008,I-1029,
C5008,I-1044,
C5008,I-1007,
C5008,I-1021,
C5008,I-1022,
C5008,I-1010,
C5008,I-1007,
C5008,I-1016,
C5008,I-1044,
C5008,I-1011,
C5008,I-1029,
C5008,I-1022,
C5008,I-1044,
C5008,I-1045,
C5008,I-1014,
C5008,I-1010,
C5008,I-1019,
C5008,I-1020,
C5008,I-1022,
C5008,I-1041,
C5008,I-1045,
C5008,I-1020,
C5008,I-1010,
C5008,I-1010,
C5008,I-1007,
C5008,I-1013,
C5009,I-1006,
C5009,I-1044,
C5009,I-1045,
C5009,I-1024,
C5009,I-1032,
C5009,I-1044,
C5009,I-1012,
C5009,I-1031,
C5009,I-1043,
C5009,I-1032,
C5010,I-1003,
C5010,I-1013,
C5010,I-1044,
C5010,I-1040,
C5010,I-1043,
C5010,I-1044,
C5010,I-1041,
C5011,I-1033,
C5011,I-1041,
C5011,I-1033,
C5011,I-1034,
C5011,I-1038,
C5011,I-1037,
C5011,I-1040,
C5011,I-1011,
C5011,I-1015,
C5011,I-1008,
C5011,I-1036,
C5011,I-1028,
C5011,I-1013,
C5012,I-1017,
C5012,I-1042,
C5013,I-1021,
C5013,I-1041,
C5013,I-1020,
C5013,I-1006,
C5013,I-1036,
C5013,I-1022,
C5013,I-1022,
C5013,I-1024,
C5013,I-1027,
C5013,I-1034,
C5013,I-1019,
C5013,I-1010,
C5013,I-1035,
C5013,I-1020,
C5013,I-1011,
C5014,I-1044,
C5014,I-1016,
C5014,I-1016,
C5014,I-1032,
C5014,I-1043,
C5014,I-1012,
C5014,I-1002,
C5014,I-1045,
C5014,I-1026,
C5014,I-1010,
C5014,I-1017,
C5014,I-1015,
C5014,I-1020,
C5014,I-1009,
C5014,I-1044,
C5014,I-1016,
C5014,I-1019,
C5014,I-1021,
C5014,I-1009,
C5014,I-1010,
C5014,I-1019,
C5014,I-1013,
C5015,I-1043,
C5015,I-1045,
C5015,I-1028,
C5015,I-1042,
C5015,I-1018,
C5015,I-1010,
C5015,I-1045,
C5016,I-1028,
C5016,I-1002,
C5016,I-1021,
C5016,I-1010,
C5016,I-1008,
C5016,I-1019,
C5016,I-1019,
C5016,I-1021,
C5016,I-1010,
C5016,I-1026,
C5016,I-1008,
C5016,I-1009,
C5016,I-1040,
C5016,I-1016,
C5016,I-1031,
C5016,I-1045,
C5016,I-1008,
C5017,I-1002,
C5017,I-1039,
C5017,I-1009,
C5017,I-1045,
C5017,I-1011,
C5017,I-1008,
C5017,I-1008,
C5017,I-1002,
C5017,I-1035,
C5017,I-1021,
C5017,I-1003,
C5017,I-1015,
C5017,I-1021,
C5017,I-1016,
C5017,I-1013,
C5017,I-1010,
C5017,I-1006,
C5017,I-1035,
C5018,I-1041,
C5018,I-1035,
C5018,I-1012,
C5019,I-1007,
C5019,I-1003,
C5019,I-1035,
C5019,I-1014,
C5019,I-1026,
C5019,I-1033,
C5019,I-1002,
C5019,I-1042,
C5019,I-1040,
C5019,I-1002,
C5019,I-1006,
C5019,I-1037,
C5019,I-1039,
C5019,I-1022,
C5019,I-1011,
C5020,I-1023,
C5020,I-1013,
C5020,I-1012,
C5020,I-1042,
C5020,I-1029,
C5020,I-1042,
C5020,I-1044,
C5020,I-1005,
C5020,I-1007,
C5020,I-1042,
C5020,I-1027,
C5021,I-1045,
C5021,I-1022,
C5021,I-1022,
C5021,I-1041,
C5021,I-1041,
C5021,I-1014,
C5021,I-1044,
C5021,I-1044,
C5021,I-1042,
C5021,I-1022,
C5022,I-1008,
C5022,I-1022,
C5022,I-1043,
C5022,I-1020,
C5022,I-1044,
C5022,I-1016,
C5022,I-1045,
C5022,I-1020,
C5022,I-1010,
C5022,I-1006,
C5022,I-1019,
C5022,I-1022,
C5022,I-1021,
C5022,I-1016,
C5022,I-1019,
C5022,I-1044,
C5022,I-1020,
C5022,I-1020,
C5022,I-1041,
C5022,I-1016,
C5022,I-1008,
C5022,I-1007,
C5022,I-1022,
C5022,I-1010,
C5023,I-1013,
C5024,I-1019,
C5024,I-1016,
C5024,I-1014,
C5024,I-1036,
C5024,I-1021,
C5024,I-1003,
C5024,I-1021,
C5024,I-1018,
C5024,I-1031,
